區域別,性別,總計
新生里,女,3110
新德里,女,1407
張北里,女,5073
五峯里,女,4208
新安里,女,2237
忠誠里,女,1264
中正里,女,3239
中華里,女,2435
仁愛里,女,1076
百忍里,女,2022
百和里,女,1679
福德里,女,2017
百福里,女,2021
福民里,女,2315
中山里,女,5021
和平里,女,896
中央里,女,3261
明城里,女,1863
安和里,女,4175
吉祥里,女,2477
寶福里,女,3808
小城里,女,1982
香坡里,女,6341
建國里,女,1623
復興里,女,1703
美城里,女,1386
安昌里,女,3020
長春里,女,1416
新和里,女,2149
永平里,女,2907
達觀里,女,2278
華城里,女,1644
總計,女,286180
留侯里,女,872
流芳里,女,804
赤松里,女,589
黃石里,女,700
挹秀里,女,993
湳興里,女,2772
新興里,女,1807
社後里,女,4268
香社里,女,2263
中正里,女,4199
自強里,女,2577
自立里,女,1429
光華里,女,1307
國光里,女,1882
港尾里,女,1513
金華里,女,1945
港德里,女,2342
民權里,女,1426
建國里,女,1754
漢生里,女,2435
公舘里,女,2009
新民里,女,2331
幸福里,女,2045
忠誠里,女,2347
百壽里,女,1676
介壽里,女,1736
新埔里,女,1036
華江里,女,4379
江翠里,女,2702
純翠里,女,2995
溪頭里,女,5368
聯翠里,女,1987
宏翠里,女,3204
仁翠里,女,1421
新翠里,女,4338
吉翠里,女,1894
德翠里,女,3660
滿翠里,女,1526
明翠里,女,2400
松翠里,女,1748
柏翠里,女,3430
龍翠里,女,2560
華翠里,女,1778
忠翠里,女,5751
嵐翠里,女,1181
文翠里,女,1947
青翠里,女,1477
懷翠里,女,3077
福翠里,女,648
港嘴里,女,3023
振興里,女,2207
振義里,女,2116
光復里,女,1655
埔墘里,女,3298
長壽里,女,1430
福壽里,女,1683
海山里,女,4305
九如里,女,1472
玉光里,女,3055
光仁里,女,1463
埤墘里,女,2479
永安里,女,2059
雙玉里,女,2176
廣新里,女,1905
深丘里,女,4840
香丘里,女,2010
西安里,女,1440
東丘里,女,2421
長安里,女,2448
福丘里,女,2853
福祿里,女,2281
民族里,女,2665
國泰里,女,1896
福德里,女,2566
景星里,女,1913
福星里,女,1840
鄉雲里,女,1981
廣德里,女,3568
大豐里,女,2326
重慶里,女,4510
仁愛里,女,1496
和平里,女,2374
廣福里,女,2003
華興里,女,2229
華貴里,女,1273
華德里,女,3661
華東里,女,4332
信義里,女,2194
浮洲里,女,1793
華中里,女,2642
僑中里,女,2099
中山里,女,3778
復興里,女,367
大安里,女,1975
福安里,女,4124
聚安里,女,2628
龍安里,女,1413
崑崙里,女,5178
溪洲里,女,3028
溪北里,女,1830
香雅里,女,1553
新生里,女,2093
文德里,女,1702
文化里,女,1736
新海里,女,1693
莒光里,女,1397
富貴里,女,1185
正泰里,女,1579
民生里,女,1181
後埔里,女,2090
華福里,女,1022
堂春里,女,2168
成和里,女,3819
光榮里,女,1260
民安里,女,1128
陽明里,女,1332
朝陽里,女,1741
松柏里,女,1173
文聖里,女,1971
居仁里,女,2018
莊敬里,女,2354
東安里,女,1302
五權里,女,2093
溪福里,女,7415
大觀里,女,1808
歡園里,女,538
總計,女,11904
深坑里,女,1836
萬順里,女,1278
土庫里,女,1574
昇高里,女,1008
阿柔里,女,263
埔新里,女,3375
萬福里,女,1336
賴仲里,女,1234
總計,女,3222
烏來里,女,1436
忠治里,女,960
福山里,女,403
信賢里,女,310
孝義里,女,113
總計,女,18077
龍潭里,女,373
龍興里,女,1027
龍鎮里,女,657
龍川里,女,910
龍山里,女,657
龍安里,女,310
爪峯里,女,1968
柑坪里,女,529
東和里,女,873
上天里,女,608
吉慶里,女,844
吉安里,女,1573
傑魚里,女,971
猴硐里,女,178
光復里,女,103
弓橋里,女,133
碩仁里,女,63
基山里,女,199
永慶里,女,187
崇文里,女,135
福住里,女,73
頌德里,女,144
新山里,女,153
瓜山里,女,82
銅山里,女,79
石山里,女,132
濓新里,女,140
濓洞里,女,239
海濱里,女,670
瑞濱里,女,1047
深澳里,女,696
南雅里,女,127
鼻頭里,女,413
新峰里,女,1784
總計,女,3229
石碇里,女,183
潭邊里,女,382
隆盛里,女,309
烏塗里,女,240
彭山里,女,136
豐田里,女,173
永定里,女,283
中民里,女,308
光明里,女,116
豐林里,女,143
永安里,女,451
格頭里,女,505
總計,女,101653
正義里,女,8304
中原里,女,3328
中路里,女,2085
光華里,女,2838
保佑里,女,1893
水湳里,女,5619
樓厝里,女,3497
鷺江里,女,2880
恆德里,女,3193
溪墘里,女,1609
樹德里,女,1603
保和里,女,1359
仁復里,女,1098
得勝里,女,1694
南港里,女,3191
永樂里,女,3278
永康里,女,3707
信義里,女,2008
玉清里,女,3187
復興里,女,1778
水河里,女,4813
仁愛里,女,2700
忠義里,女,1714
九芎里,女,2804
中華里,女,1706
得仁里,女,1553
仁德里,女,2828
仁義里,女,2501
光明里,女,2533
保新里,女,2215
長安里,女,2631
民和里,女,1328
忠孝里,女,1213
福安里,女,1617
永安里,女,2776
延平里,女,2166
成功里,女,4061
永德里,女,2345
總計,女,5290
貢寮里,女,399
吉林里,女,172
雙玉里,女,243
龍崗里,女,168
龍門里,女,333
福隆里,女,821
仁里里,女,913
真理里,女,1018
福連里,女,469
美豐里,女,283
和美里,女,471
總計,女,3494
雙溪里,女,225
共和里,女,158
新基里,女,349
魚行里,女,268
三港里,女,132
牡丹里,女,668
三貂里,女,142
平林里,女,389
上林里,女,252
外柑里,女,154
長源里,女,141
泰平里,女,616
總計,女,113064
福林里,女,1748
文化里,女,1445
豫溪里,女,2427
光明里,女,1599
仁愛里,女,1379
永貞里,女,1789
永福里,女,1426
民治里,女,1608
永成里,女,497
忠義里,女,376
永元里,女,2566
秀林里,女,2145
保安里,女,3690
中溪里,女,2556
永安里,女,2269
民族里,女,2513
民權里,女,2435
中興里,女,1792
勵行里,女,666
秀朗里,女,1996
秀成里,女,1417
上溪里,女,1042
竹林里,女,1889
雙和里,女,2183
安和里,女,2099
水源里,女,2022
協和里,女,1520
河堤里,女,1789
頂溪里,女,1308
潭墘里,女,2510
潭安里,女,2572
大新里,女,1465
保平里,女,2556
民本里,女,2235
民樂里,女,2377
光復里,女,906
復興里,女,1249
福和里,女,2762
得和里,女,2201
智光里,女,1716
新生里,女,471
大同里,女,531
前溪里,女,1096
和平里,女,2607
新廍里,女,1096
下溪里,女,2407
秀和里,女,2589
河濱里,女,1689
民生里,女,2114
秀得里,女,1407
上林里,女,1830
網溪里,女,597
正興里,女,1178
永興里,女,1675
桂林里,女,1945
店街里,女,2324
信義里,女,1350
後溪里,女,1118
民富里,女,1516
秀元里,女,1645
永樂里,女,1278
